Pathway identifier,Pathway name,#Entities found,#Entities total,#Interactors found,#Interactors total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Submitted entities hit interactor,Interacts with,Found reaction identifiers
R-HSA-5578775,"Ion homeostasis",20,64,3,98,0.004401045248246458,1.1102230246251565E-16,4.718447854656915E-14,13,16,0.0011837821840781297,9606,Homo sapiens,"Q96D31;Q14643;Q92736;Q13586;P30626;P32418;P0DP23;P29475;Q13557;P16615;P17612;P19429;O14958;P68106;P21817;Q14571;O15247;Q13061;P23634;P26678","Q96D31;Q14643;Q92736;Q13586;P30626;P32418;P0DP23;P29475;Q13557;P16615;P17612;P19429;O14958;P68106;P21817;Q14571;O15247;Q13061;P23634;P26678",P30626;P49810;P05067,P17612;P30626,"R-HSA-427910;R-HSA-418309;R-HSA-2855020;R-HSA-434798;R-HSA-2089943;R-HSA-5617182;R-HSA-139854;R-HSA-5578777;R-HSA-5617179;R-HSA-5617178;R-HSA-169683;R-HSA-5226904;R-HSA-425661"
R-HSA-5576891,"Cardiac conduction",27,138,3,106,0.009489753816531426,1.1102230246251565E-16,4.718447854656915E-14,20,27,0.0019976324356318436,9606,Homo sapiens,"Q14524;Q96D31;Q14643;Q92736;P30626;P01160;P29475;Q13557;Q9NS61;P16615;Q13936;Q08289;O14649;P19429;Q14571;Q13061;P26678;Q13586;P32418;P0DP23;P17612;O14958;P68106;Q02641;P21817;O15247;P23634","Q14524;Q96D31;Q14643;Q92736;P30626;P01160;P29475;Q13557;Q9NS61;P16615;Q13936;Q08289;O14649;P19429;Q14571;Q13061;P26678;Q13586;P32418;P0DP23;P17612;O14958;P68106;Q02641;P21817;O15247;P23634",P30626;P49810;P05067,P17612;P30626,"R-HSA-427910;R-HSA-418309;R-HSA-2855020;R-HSA-5577234;R-HSA-434798;R-HSA-5577213;R-HSA-2089943;R-HSA-5576895;R-HSA-5578783;R-HSA-5617182;R-HSA-5578910;R-HSA-139854;R-HSA-5578777;R-HSA-5617179;R-HSA-5617178;R-HSA-169683;R-HSA-6784598;R-HSA-5226904;R-HSA-425661;R-HSA-2032800"
R-HSA-397014,"Muscle contraction",30,213,5,199,0.014647228716820246,1.1102230246251565E-16,4.718447854656915E-14,29,42,0.0031074282332050904,9606,Homo sapiens,"Q14524;Q96D31;Q14643;Q92736;P30626;P01160;P29475;Q13557;Q9NS61;P16615;Q13936;Q08289;P56539;O14649;P19429;Q14571;Q13061;P26678;Q13586;P32418;P0DP23;P35609;P11532;P17612;O14958;P68106;Q02641;P21817;O15247;P23634","Q14524;Q96D31;Q14643;Q92736;P30626;P01160;P29475;Q13557;Q9NS61;P16615;Q13936;Q08289;P56539;O14649;P19429;Q14571;Q13061;P26678;Q13586;P32418;P0DP23;P35609;P11532;P17612;O14958;P68106;Q02641;P21817;O15247;P23634",P30626;Q8NBP7;P49810;P35609;P05067,P17612;P30626;O75923;P07355,"R-HSA-427910;R-HSA-390597;R-HSA-5263633;R-HSA-390598;R-HSA-418309;R-HSA-390593;R-HSA-390595;R-HSA-2855020;R-HSA-5577234;R-HSA-2089943;R-HSA-5578783;R-HSA-5617182;R-HSA-5578910;R-HSA-139854;R-HSA-5578777;R-HSA-5617179;R-HSA-5617178;R-HSA-74448;R-HSA-169683;R-HSA-5226904;R-HSA-5263628;R-HSA-445797;R-HSA-434798;R-HSA-5577213;R-HSA-5576895;R-HSA-6784598;R-HSA-445813;R-HSA-425661;R-HSA-2032800"
R-HSA-983712,"Ion channel transport",17,206,2,43,0.014165864392793288,1.2068124277675452E-13,3.849731644578469E-11,8,45,0.0033293873927197396,9606,Homo sapiens,"Q8TD43;Q92736;P30626;P0DP23;Q9C0H2;Q13557;P16615;O14958;P68106;P21817;O00141;Q9UBN4;O15247;Q13061;P23634;O94759;P26678","Q8TD43;Q92736;P30626;P0DP23;Q9C0H2;Q13557;P16615;O14958;P68106;P21817;O00141;Q9UBN4;O15247;Q13061;P23634;O94759;P26678",P30626;P49810,P30626,"R-HSA-427910;R-HSA-418309;R-HSA-2682349;R-HSA-2855020;R-HSA-3295579;R-HSA-418365;R-HSA-2744242;R-HSA-3295580"
R-HSA-418360,"Platelet calcium homeostasis",10,35,2,20,0.002406821620134782,1.2491119250057636E-12,3.185235408764697E-10,7,8,5.918910920390648E-4,9606,Homo sapiens,"Q96D31;Q14643;Q13586;P30626;P32418;P0DP23;Q14571;P56373;P16615;P23634","Q96D31;Q14643;Q13586;P30626;P32418;P0DP23;Q14571;P56373;P16615;P23634",P30626;P49810,P30626,"R-HSA-418309;R-HSA-434798;R-HSA-434700;R-HSA-425661;R-HSA-418365;R-HSA-139854;R-HSA-139855"
R-HSA-2672351,"Stimuli-sensing channels",13,119,2,25,0.008183193508458258,3.4208191834750323E-12,7.252136668967069E-10,5,28,0.0020716188221367266,9606,Homo sapiens,"Q8TD43;Q92736;P30626;P0DP23;Q9C0H2;O14958;P68106;P21817;O00141;Q9UBN4;O15247;Q13061;O94759","Q8TD43;Q92736;P30626;P0DP23;Q9C0H2;O14958;P68106;P21817;O00141;Q9UBN4;O15247;Q13061;O94759",P30626;P49810,P30626,"R-HSA-2682349;R-HSA-2855020;R-HSA-3295579;R-HSA-2744242;R-HSA-3295580"
R-HSA-5576892,"Phase 0 - rapid depolarisation",6,34,0,9,0.002338055288130931,2.3250246117267892E-7,4.2315447933427563E-5,2,2,1.479727730097662E-4,9606,Homo sapiens,"Q14524;Q02641;P0DP23;Q13557;Q13936;Q08289","",,,"R-HSA-5577213;R-HSA-5576895"
R-HSA-418346,"Platelet homeostasis",12,117,3,222,0.008045660844450558,6.062492993175184E-7,9.639363859148542E-5,13,30,0.002219591595146493,9606,Homo sapiens,"Q96D31;Q14643;Q13586;P30626;P29475;P32418;P0DP23;Q14571;P56373;P16615;P23634;Q12791","Q96D31;Q14643;Q13586;P30626;P29475;P32418;P0DP23;Q14571;P56373;P16615;P23634;Q12791",P30626;P49810;Q03135,P30626;P29350;Q06124,"R-HSA-418436;R-HSA-418309;R-HSA-419490;R-HSA-210277;R-HSA-434798;R-HSA-434700;R-HSA-139854;R-HSA-418442;R-HSA-139855;R-HSA-418549;R-HSA-210294;R-HSA-425661;R-HSA-418365"
R-HSA-139853,"Elevation of cytosolic Ca2+ levels",5,22,0,9,0.0015128593040847202,1.2118230541258157E-6,1.7086705063174001E-4,4,5,3.699319325244155E-4,9606,Homo sapiens,"Q96D31;Q14643;Q13586;Q14571;P56373","",,,"R-HSA-434798;R-HSA-434700;R-HSA-139854;R-HSA-139855"
R-HSA-418359,"Reduction of cytosolic Ca++ levels",5,15,2,20,0.0010314949800577637,1.8968709304401088E-6,2.4090260816589382E-4,3,3,2.219591595146493E-4,9606,Homo sapiens,"P30626;P32418;P0DP23;P23634;P16615","P30626;P32418;P0DP23;P23634;P16615",P30626;P49810,P30626,"R-HSA-418309;R-HSA-425661;R-HSA-418365"
